strategy,status,gas_used,gas_price_gwei,fee_eth,eth_price_usd,pnl_usd_pre_gas,gas_usd,net_usd,net_eth,credibility,cross_block,block_span
F10-06-sdai-aave-usdc-spark-recursive,PASS,1108791,1.6369,0.00181500,3376.72,4329.88,6.13,4323.75,1.28045680,OVERSTATED,yes,216000
F10-07-gho-usde-curve-aave-3mech,PASS,1106900,11.7536,0.01301004,2562.11,892.95,33.33,859.62,0.33551292,OVERSTATED,yes,216000
F10-08-aave-isolation-mode-farm,PASS,369471,7.9729,0.00294577,3653.47,0.0,10.76,-10.76,-0.00294577,OVERSTATED,yes,216000
F11-01-comet-usdc-weth-leverage-loop,PASS,1003480,0.9762,0.00097958,2614.41,50.0,2.56,47.44,0.01814519,OVERSTATED,yes,216000
F11-02-fluid-wsteth-eth-smart-collateral-loop,PASS,265149,18.1915,0.00482345,2636.41,50.0,12.72,37.28,0.01414175,OVERSTATED,no,0
F11-03-euler-evc-batch-rate-arb,PASS,44576,13.1714,0.00058713,3165.01,50.0,1.86,48.14,0.01521061,OVERSTATED,no,0
F11-04-cross-mm-comet-aave-usdc-supply-arb,PASS,869537,1.6937,0.00147273,2292.66,50.0,3.38,46.62,0.02033599,OVERSTATED,yes,216000
F11-05-fluid-susde-usdc-pendle-pt-loop,PASS,519860,4.5332,0.00235662,3289.79,607927.86,7.75,607920.11,184.79016203,OVERSTATED,yes,216000
F11-06-comet-eth-lido-wsteth-loop,PASS,1272190,7.9729,0.01014310,3653.47,35.08,37.06,-1.97,-0.00053998,OVERSTATED,yes,216000
F11-07-fluid-wsteth-usdc-dssflash-bootstrap,PASS,581922,7.9729,0.00463963,3653.47,50.0,16.95,33.05,0.00904599,OVERSTATED,yes,216000
F11-08-euler-cross-vault-usdc-rate-sniffer,PASS,377729,4.5332,0.00171231,3289.79,50.0,5.63,44.37,0.01348624,OVERSTATED,yes,216000
F12-01-convex-frxeth-boost-loop,PASS,2961964,19.9758,0.05916752,3300.0,50.0,195.25,-145.25,-0.04401601,OVERSTATED,yes,100800
F12-02-vlcvx-votium-bribe-claim,PASS,893186,19.9758,0.01784208,3300.0,400.0,58.88,341.12,0.10337004,CREDIBLE,yes,100800
F12-03-convex-steth-triple-reward,PASS,3695647,19.9758,0.07382341,3300.0,0.05,243.62,-243.57,-0.07380780,CREDIBLE,yes,100800
F12-04-curve-gauge-weight-vote-snipe,PASS,778713,19.9758,0.01555539,3300.0,50.0,51.33,-1.33,-0.00040388,OVERSTATED,yes,57600
F12-05-aura-reth-weth-hiddenhand,PASS,2750328,19.9758,0.05493993,3300.0,112.61,181.3,-68.69,-0.02081429,CREDIBLE,yes,100800
F12-06-penpie-pendle-pt-weeth-hiddenhand,PASS,950036,1.2985,0.00123367,2600.0,46.25,3.21,43.05,0.01655660,CREDIBLE,yes,100800
F12-07-convex-frxeth-fxs-compound,PASS,2971430,19.9758,0.05935661,3300.0,50.0,195.88,-145.88,-0.04420510,OVERSTATED,yes,100800
F12-08-hiddenhand-multi-protocol-bribe,PASS,910672,19.9758,0.01819138,3300.0,50.0,60.03,-10.03,-0.00303986,OVERSTATED,yes,100800
F12-09-convex-crvusd-usdc-llamma-arb,PASS,2489063,19.9758,0.04972096,3300.0,3246.05,164.08,3081.97,0.93393018,CREDIBLE,yes,50400
F13-01-univ3-wsteth-flash-balancer-cspeg-arb,PASS,,,,,,,,,,,
F13-02-balancer-reth-rateprovider-univ3-arb,PASS,,,,,,,,,,,
F13-03-balancer-boosted-aave-stable-lp,PASS,356389,5.8869,0.00209803,2409.17,50.0,5.05,44.95,0.01865601,OVERSTATED,yes,1
F13-04-univ3-wsteth-weth-narrow-lp,PASS,284185,5.8869,0.00167297,2409.17,50.0,4.03,45.97,0.01908107,OVERSTATED,yes,1
F13-05-univ3-wsteth-jit-lp-backrun,PASS,331173,5.8869,0.00194958,2409.17,11.86,4.7,7.16,0.00297201,CREDIBLE,no,0
F13-06-balancer-weeth-rateprovider-univ3-flash-curve,PASS,,,,,,,,,,,
F13-07-univ3-usdc-weth-flash-balancer-curve-peg-arb,PASS,407378,18.1915,0.00741080,2636.41,50.0,19.54,30.46,0.01155439,OVERSTATED,no,0
F13-08-balancer-wsteth-bpt-aura-stake,PASS,1332254,5.8869,0.00784285,2409.17,50.0,18.89,31.11,0.01291118,OVERSTATED,yes,1
F14-01-seth-susd-atomic-vs-uniswap-triangular,PASS,1647521,16.0703,0.02647609,1900.0,86547.49,50.3,86497.19,45.52483599,OVERSTATED,no,0
F14-02-susd-3pool-depeg-atomic,PASS,236808,16.5696,0.00392382,1550.0,60000.0,6.08,59993.92,38.70575360,OVERSTATED,no,0
F14-03-sbtc-seth-susd-triangular,PASS,,,,,,,,,,,
F14-04-atomic-oracle-update-sandwich,PASS,1239929,30.669,0.03802742,1800.0,50.0,68.45,-18.45,-0.01024965,OVERSTATED,no,0
F14-05-sbtc-wbtc-balancer-flash-atomic,PASS,,,,,,,,,,,
F14-06-susd-deep-depeg-sbtc-backstop,PASS,,,,,,,,,,,
F14-07-synthetix-v3-vault-research-probe,PASS,49857,5.8869,0.00029350,2500.0,50.0,0.73,49.27,0.01970650,OVERSTATED,no,0
F14-08-sbtc-chainlink-update-presandwich,PASS,,,,,,,,,,,
F15-01-steth-direct-eigen-vs-ezeth,PASS,742919,33.1648,0.02463879,3033.7,4068.0,74.75,3993.25,1.31629680,OVERSTATED,no,0
F15-02-eigen-cap-race-first-deposit,PASS,97996,20.5268,0.00201154,3387.64,1356.0,6.81,1349.19,0.39826655,OVERSTATED,yes,30
F15-03-eigen-withdrawal-queue-secondary,PASS,325454,6.3092,0.00205336,3163.0,79.92,6.49,73.42,0.02321343,OVERSTATED,yes,50500
F15-04-native-eigen-symbiotic-dualstack,PASS,356219,3.6842,0.00131239,3256.05,76.63,4.27,72.36,0.02222333,OVERSTATED,no,0
F15-05-eigen-operator-multi-avs-delegation,PASS,313891,1.42,0.00044572,3163.22,1553.88,1.41,1552.47,0.49078790,OVERSTATED,no,0
F15-06-eigenpod-native-validator-restake,PASS,415523,0.9762,0.00040562,2614.41,5280.0,1.06,5278.94,2.01916932,OVERSTATED,no,0
F15-07-karak-multi-lrt-basket-vault,PASS,675462,1.6937,0.00114402,2292.66,50.0,2.62,47.38,0.02066469,OVERSTATED,no,0
F15-08-symbiotic-eigen-pendle-yt-triple,PASS,699730,22.8205,0.01596820,3452.81,1386.91,55.14,1331.78,0.38570841,OVERSTATED,no,0
F16-01-lusd-trove-aave-usdc-supply-carry,PASS,8312639,3.6842,0.03062555,2600.0,1847.11,79.63,1767.49,0.67980319,OVERSTATED,no,0
F16-02-gho-vs-crvusd-rate-arb,PASS,1265349,0.9762,0.00123521,2400.0,122327.19,2.96,122324.23,50.96842857,OVERSTATED,no,0
F16-03-dssflash-triangular-gho-crvusd-dai,PASS,,,,,,,,,,,
F16-04-gho-mint-lusd-stability-pool-carry,PASS,1559532,0.9762,0.00152238,2400.0,680.2,3.65,676.54,0.28189288,OVERSTATED,no,0
F16-05-dssflash-susds-gho-mint-crvusd-swap,PASS,613736,4.214,0.00258628,3300.0,25947.15,8.53,25938.61,7.86018581,CREDIBLE,yes,216000
F16-06-crvusd-llamma-gho-collateral-loop,PASS,1411163,1.6937,0.00239008,2550.0,1458.88,6.09,1452.79,0.56972020,OVERSTATED,no,0
F16-07-five-stable-cross-cdp-basis-scan,PASS,377775,0.2397,0.00009056,3400.0,50.0,0.31,49.69,0.01461532,OVERSTATED,no,0
F16-08-lusd-trove-crvusd-curve-convex-boost,PASS,5404977,0.8044,0.00434795,3100.0,1100.0,13.48,1086.52,0.35049076,OVERSTATED,no,0
F17-01-usdm-curve-rebase-harvest,PASS,223142,1.4424,0.00032186,3000.0,3521.42,0.97,3520.46,1.17348517,OVERSTATED,yes,50000
F17-02-syrupusdc-vs-susds-carry-rotation,PASS,359278,18.1915,0.00653580,2600.0,1077.96,16.99,1060.97,0.40806543,CREDIBLE,no,0
F17-03-oeth-curve-depeg-redeem-arb,PASS,42645,3.6842,0.00015711,3256.05,862.0,0.51,861.49,0.26458099,OVERSTATED,no,0
F17-04-ousd-rebase-aave-loop,PASS,798155,0.9762,0.00077914,3000.0,325.38,2.34,323.04,0.10768069,OVERSTATED,no,0
F17-05-sUSDe-sUSDS-aave-emode-rotation,PASS,42662,8.9237,0.00038070,2647.36,1151.0,1.01,1149.99,0.43439205,OVERSTATED,no,0
F17-06-oeth-redeem-aave-emode-loop,PASS,69760,3.6842,0.00025701,3256.05,50.0,0.84,49.16,0.01509903,OVERSTATED,no,0
F17-07-syrupUSDC-morpho-pendle-hedge,PASS,131919,1.6937,0.00022343,2292.66,50.0,0.51,49.49,0.02158529,OVERSTATED,no,0
F17-08-usdm-crvusd-llamma-amplified-carry,PASS,42617,6.9784,0.00029740,2348.96,50.0,0.7,49.3,0.02098862,OVERSTATED,no,0
F18-01-dssflash-crvusd-pegkeeper-arb,PASS,830260,0.9762,0.00081048,2600.0,50.0,2.11,47.89,0.01842029,OVERSTATED,no,0
F18-02-wsteth-pendle-pt-morpho-tier,FAIL,,,,,,,,,,,
F18-03-ethena-curve-aave-usde-carry,PASS,602939,3.6842,0.00222136,2600.0,10000.0,5.78,9994.22,3.84393249,OVERSTATED,no,0
F18-04-balancer-pendle-morpho-pt-susde,FAIL,,,,,,,,,,,
F18-05-eigen-symbiotic-karak-triple-restake,PASS,326949,0.9762,0.00031916,2614.41,1307.21,0.83,1306.37,0.49968084,OVERSTATED,no,0
F18-06-synthetix-curve-aave-susd-rotation,PASS,713934,1.42,0.00101378,3163.22,-1025.45,3.21,-1028.65,-0.32519174,,no,0
